36.65,54.43
35.63,0.43
22.42,56.45
3.74,9.13
3.69,56.10
10.41,61.19
12.49,27.14
8.95,61.75
15.96,47.79
15.30,27.08
8.78,2.77
4.75,8.29
31.03,6.65
1.35,26.21
0.41,15.78
17.82,36.46
0.44,26.61
3.57,30.46
2.27,39.91
13.83,28.61
7.59,6.27
3.36,26.96
18.21,14.17
35.79,9.27
17.65,13.31
7.95,23.72
14.13,3.11
4.66,4.80
1.55,15.38
36.84,9.68
3.22,6.33
11.49,4.63
59.39,1.00
21.54,3.77
11.41,9.57
27.37,32.86
14.90,25.14
47.57,1.05
11.87,8.80
52.52,43.04
24.76,13.12
26.85,7.81
18.17,0.60
9.00,49.49
31.90,21.00
18.76,25.79
16.40,25.95
0.40,14.19
19.89,3.04
48.88,4.79
19.54,21.09
18.73,8.63
28.29,1.66
14.54,8.46
2.31,5.37
17.41,14.97
17.36,15.31
18.98,20.11
19.48,8.72
22.80,4.04
6.72,7.55
15.88,21.88
2.29,14.26
39.37,6.61
13.52,0.97
6.07,1.76
6.06,38.04
38.56,0.50
9.50,60.04
5.33,13.70
31.48,7.79
13.72,10.06
26.64,21.15
6.24,16.46
11.81,13.96
33.05,2.60
22.17,13.38
8.63,13.20
26.03,28.75
22.20,0.19
9.94,17.14
5.86,24.27
5.55,4.24
27.98,3.78
4.57,20.13
21.19,12.10
8.88,2.59
44.86,14.39
3.93,9.63
6.81,16.06
3.21,3.02
23.11,32.24
10.55,19.71
9.46,9.01
7.03,4.17
8.78,18.97
6.21,13.27
25.30,5.42
7.02,4.71
14.02,10.60
14.74,34.84
38.10,0.70
5.68,13.62
2.74,2.36
5.64,1.78
9.09,38.44
7.41,21.44
3.73,5.23
0.87,15.42
23.29,35.20
36.79,16.24
19.89,14.92
5.28,5.06
16.56,55.70
11.61,20.43
9.32,38.69
14.91,21.34
24.07,0.83
7.85,26.22
5.55,2.05
13.69,5.04
23.47,83.77
16.99,28.14
2.72,56.87
5.40,28.95
7.45,0.13
28.42,8.48
37.82,20.27
22.39,1.43
16.29,16.12
11.49,7.39
23.66,13.56
10.91,29.09
29.59,16.10
16.62,0.79
2.21,41.79
26.15,17.17
35.64,7.11
24.87,25.33
22.69,21.18
14.96,8.59
13.84,44.44
28.00,16.56
56.41,4.84
10.90,34.65
13.95,22.34
12.44,3.31
11.16,10.54
15.07,23.09
6.10,26.02
27.81,14.51
11.05,23.24
35.57,20.04
10.49,3.50
25.79,2.02
14.42,5.49
19.66,12.62
3.97,33.87
5.47,21.38
30.32,14.22
37.36,8.87
1.05,14.89
3.85,4.40
17.50,0.52
29.95,16.12
23.11,27.83
22.54,7.47
30.08,35.49
8.86,15.40
9.58,0.53
8.19,27.04
5.93,28.72
10.99,31.64
6.33,31.95
3.12,0.67
0.48,9.46
31.79,26.27
4.10,5.62
24.99,14.38
7.57,5.25
8.49,44.06
26.27,29.37
0.30,26.59
2.19,13.56
4.88,11.42
29.60,29.86
7.59,14.68
9.09,21.34
3.07,4.68
17.07,36.44
9.68,17.70
4.70,5.61
0.73,11.67
18.81,8.51
6.44,12.58
26.53,6.13
26.38,1.38
23.43,2.11
24.71,18.50
4.52,30.95
17.60,36.71
1.42,18.49
1.17,37.02
23.56,9.01
1.11,19.14
36.91,11.10
2.67,63.69
14.07,11.48
38.44,15.23
2.55,33.24
8.09,14.15
4.08,1.50
11.55,16.22
12.07,34.38
1.75,12.11
22.25,32.39
19.95,5.43
12.64,15.87
0.66,39.49
27.58,24.76
12.78,22.75
21.92,23.13
2.42,34.80
20.77,0.99
28.30,5.66
8.51,19.13
20.38,34.09
36.44,43.67
10.54,3.95
14.20,41.79
0.12,46.05
1.15,10.13
11.11,21.73
0.96,49.24
13.13,10.20
10.56,29.78
54.16,24.81
23.66,13.04
2.11,17.56
0.55,30.81
12.04,3.27
12.49,13.16
21.93,29.33
0.21,4.58
1.26,6.87
13.37,0.01
6.24,3.45
9.65,23.28
9.00,33.44
3.54,0.38
14.63,1.03
4.26,52.92
14.78,7.15
2.03,20.47
29.29,8.19
12.29,10.32
7.83,10.64
0.27,20.38
10.85,14.71
7.55,47.04
23.82,0.78
24.75,7.50
5.42,21.76
3.76,26.82
27.09,8.70
11.92,13.26
6.59,36.53
4.50,12.71
20.13,7.57
9.72,1.91
0.63,21.19
34.70,19.58
3.08,3.35
20.25,71.13
0.28,9.17
8.61,43.88
6.24,26.08
15.45,19.51
12.20,1.23
30.70,14.68
9.60,9.96
34.75,57.18
14.61,9.37
52.62,42.90
38.45,54.09
88.52,129.22
220.88,169.64
107.47,257.08
132.36,60.23
74.98,29.04
159.79,53.28
45.87,96.01
31.34,14.79
35.45,22.72
79.48,67.95
12.24,26.73
94.66,33.67
104.21,62.32
