564.02,119.31
73.60,19.76
715.56,1.27
1011.33,107.06
1073.59,10.09
439.62,190.06
63.69,104.80
503.83,26.85
948.43,105.60
558.15,5.46
29.79,83.86
772.11,92.21
762.99,11.73
512.83,168.28
328.41,60.06
646.65,51.74
855.97,89.76
618.97,10.97
849.60,58.78
13.13,143.13
704.06,29.47
820.14,139.96
641.16,79.91
275.80,94.12
717.44,85.96
749.92,10.83
315.14,54.09
276.74,130.28
764.64,76.40
775.96,146.65
740.81,82.93
511.32,77.68
188.36,136.60
738.40,36.62
806.18,70.63
344.98,86.23
264.47,25.16
884.51,139.01
830.65,100.84
276.88,78.35
521.99,54.00
812.22,38.39
689.42,55.25
768.34,91.09
335.90,5.34
240.44,167.59
768.41,101.75
757.75,89.91
251.35,78.29
462.10,39.33
895.39,87.47
665.77,101.99
106.43,52.72
520.45,138.54
834.53,93.33
704.87,52.44
878.66,117.83
184.10,55.96
359.43,83.19
899.99,97.44
577.88,65.35
185.72,103.50
547.29,69.13
774.00,108.75
646.13,75.21
34.54,56.36
622.11,102.32
846.38,142.21
766.60,77.14
599.95,144.56
187.55,34.18
485.60,123.88
795.77,59.63
646.28,56.20
39.62,114.89
697.65,148.03
794.49,94.84
513.47,113.32
147.74,27.64
600.58,125.57
856.22,48.19
805.21,44.36
661.47,133.76
64.19,126.01
611.96,54.59
805.03,104.44
462.35,29.00
104.99,120.82
708.36,40.70
757.25,79.27
437.42,130.89
199.69,123.86
728.61,64.06
809.69,104.82
866.68,0.83
572.61,123.45
41.61,29.79
619.64,97.89
730.46,134.65
548.81,113.55
122.37,99.99
802.57,120.47
789.35,26.67
395.54,129.54
372.27,53.18
661.62,69.53
711.46,134.14
785.58,107.00
518.46,117.10
99.55,126.42
666.41,54.79
865.22,166.75
487.70,33.50
196.78,152.52
823.76,141.68
647.34,140.22
380.89,102.74
278.08,109.05
768.12,8.23
800.97,137.85
786.67,19.75
387.12,144.61
225.41,111.63
685.52,130.63
753.90,130.45
329.54,73.71
300.76,7.55
801.11,140.03
685.08,1.66
245.69,152.27
535.39,149.71
749.32,119.12
675.15,161.30
734.21,61.82
331.77,62.07
260.80,146.87
764.69,1.70
735.07,172.35
229.02,117.84
419.09,125.46
821.71,144.97
606.24,77.30
83.93,88.76
516.69,176.78
751.11,0.61
602.04,145.66
812.81,110.22
359.39,117.67
389.41,192.57
758.06,95.57
672.85,75.87
145.48,129.52
411.66,39.85
787.52,138.45
585.13,164.00
6.15,47.79
